danceability,energy,valence,tempo
0.598,0.268,0.319,0.515262395
0.774,0.847,0.688,0.359874665
0.505,0.438,0.346,0.246662314
0.696,0.765,0.792,0.480511854
0.729,0.753,0.468,0.488174878
0.643,0.816,0.616,0.47251619
0.391,0.147,0.486,0.520728357
0.442,0.39,0.63,0.326356121
0.312,0.79,0.813,0.730311654
0.482,0.967,0.269,0.549138218
0.905,0.39,0.94,0.412308476
0.534,0.504,0.81,0.505812975
0.318,0.0482,0.0613,0.520658544
0.503,0.893,0.182,0.73566263
0.669,0.51,0.816,0.401290312
0.613,0.503,0.281,0.571494865
0.737,0.792,0.693,0.404735798
0.731,0.794,0.873,0.361398235
0.913,0.569,0.94,0.446102165
0.588,0.554,0.164,0.46788388
0.317,0.493,0.17,0.750528732
0.463,0.898,0.802,0.365344733
0.523,0.87,0.753,0.572406543
0.438,0.901,0.44,0.373599116
0.675,0.764,0.74,0.566217809
0.526,0.412,0.388,0.393257689
0.53,0.934,0.431,0.57699368
0.83,0.666,0.896,0.320245414
0.232,0.328,0.277,0.533163318
0.55,0.726,0.922,0.4230556
0.685,0.836,0.538,0.589732533
0.489,0.423,0.682,0.501295651
0.281,0.708,0.677,0.673931345
0.479,0.299,0.481,0.698078495
0.477,0.864,0.837,0.450007597
0.186,0.973,0.21,0.539614878
0.498,0.107,0.658,0.522153367
0.691,0.672,0.963,0.689811792
0.524,0.855,0.942,0.722632204
0.226,0.494,0.284,0.697281803
0.524,0.564,0.473,0.574414699
0.157,0.0944,0.039,0.550624828
0.377,0.767,0.753,0.709150045
0.453,0.343,0.765,0.390021642
0.599,0.741,0.848,0.59784729
0.285,0.296,0.27,0.385151146
0.463,0.566,0.812,0.807327921
0.713,0.541,0.577,0.342240675
0.317,0.931,0.248,0.464081115
0.302,0.42,0.338,0.458208594
0.48,0.523,0.904,0.818461071
0.554,0.539,0.803,0.386600796
0.311,0.314,0.565,0.451662581
0.656,0.504,0.64,0.37658055
0.496,0.119,0.254,0.44226244
0.453,0.957,0.303,0.563610081
0.707,0.58,0.535,0.463592422
0.586,0.903,0.55,0.621210068
0.388,0.888,0.528,0.534284435
0.322,0.989,0.0741,0.369287125
0.485,0.956,0.609,0.591958342
0.558,0.524,0.636,0.38460496
0.659,0.818,0.39,0.492564895
0.629,0.498,0.33,0.488515731
0.476,0.954,0.485,0.502137516
0.31,0.334,0.282,0.533138678
0.658,0.628,0.857,0.524596829
0.271,0.994,0.42,0.457087476
0.576,0.482,0.646,0.389528843
0.218,0.104,0.0329,0.470590168
0.72,0.531,0.831,0.533779316
0.851,0.497,0.752,0.388239352
0.486,0.933,0.504,0.38958223
0.341,0.163,0.592,0.817463153
0.366,0.0992,0.21,0.338828042
0.266,0.986,0.302,0.353907691
0.171,0.205,0.1,0.28675151
0.618,0.489,0.639,0.481324972
0.292,0.884,0.247,0.586940006
0.76,0.612,0.592,0.453210791
0.505,0.537,0.277,0.312479723
0.881,0.83,0.751,0.5386416
0.644,0.553,0.646,0.720673328
0.306,0.0112,0.0828,0.279125446
0.811,0.927,0.557,0.403672174
0.639,0.883,0.33,0.503981405
0.832,0.508,0.961,0.455461239
0.593,0.165,0.437,0.300525242
0.456,0.346,0.937,0.827080946
0.71,0.625,0.183,0.51282304
0.544,0.392,0.402,0.360921863
0.791,0.248,0.864,0.335624849
0.577,0.0846,0.433,0.344523977
0.552,0.513,0.326,0.549220351
0.675,0.588,0.732,0.348840074
0.517,0.664,0.699,0.384223041
0.291,0.0522,0.11,0.566497062
0.338,0.332,0.674,0.404604385
0.722,0.652,0.701,0.632536231
0.293,0.831,0.553,0.585839421
0.534,0.57,0.644,0.399844768
0.601,0.869,0.396,0.41970046
0.73,0.481,0.812,0.406144382
0.688,0.556,0.478,0.451752927
0.811,0.955,0.706,0.420842111
0.683,0.476,0.794,0.400259541
0.644,0.523,0.933,0.551027281
0.271,0.284,0.354,0.708152127
0.481,0.824,0.54,0.467292521
0.517,0.352,0.312,0.437100371
0.235,0.98,0.362,0.690070511
0.863,0.447,0.976,0.453695376
0.449,0.618,0.512,0.389799883
0.684,0.711,0.41,0.404514039
0.843,0.539,0.327,0.402267697
0.57,0.474,0.331,0.574698058
0.636,0.211,0.162,0.329226675
0.548,0.827,0.774,0.49377636
0.69,0.394,0.76,0.335267569
0.489,0.954,0.674,0.492700415
0.209,0.0797,0.208,0.711412814
0.813,0.465,0.632,0.390083242
0.449,0.66,0.498,0.306426509
0.692,0.805,0.894,0.457896488
0.615,0.558,0.812,0.44878792
0.69,0.164,0.743,0.347271331
0.339,0.599,0.96,0.8110157
0.261,0.626,0.358,0.691347682
0.772,0.591,0.637,0.393758701
0.513,0.347,0.52,0.323649833
0.779,0.747,0.869,0.407014993
0.483,0.438,0.512,0.358219682
0.355,0.239,0.157,0.355496967
0.377,0.84,0.311,0.617431942
0.852,0.867,0.782,0.429289507
0.929,0.738,0.716,0.526580345
0.257,0.284,0.141,0.740348327
0.691,0.837,0.64,0.444237743
