id,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,key
4yQu4WbamHMMBuAg3z8qy2,0.428,0.797,0.683,0.0288392,1.73E-05,0.832,0.47657768,0.28,0.83168115,0.0345,0.18181818
50k3rGrtZGw9nw7FQ1n3Yv,0.000929,0.538,0.989,0.01831564,0.814,0.174,0.59550239,0.697,0.87831806,0.148,1
51NKrVfrZWMxsXZho6OcMf,0.00909,0.306,0.948,0.01991013,0,0.502,0.68786934,0.576,0.92710046,0.546,1
57JZ4n54HjudI1Bzpx2cWR,0.934,0.608,0.437,0.04991895,0.0194,0.632,0.47251619,0.093,0.74922872,0.0359,0.09090909
59YfBYbu3UlY9kTzFGCcC8,0.865,0.526,0.65,0.01897732,0.0418,0.409,0.49073743,0.51,0.83315324,0.035,0.45454545
5CMLMZ18hkm3QgDFzJdlTN,0.996,0.49,0.255,0.0349916,4.64E-05,0.541,0.46720217,0.205,0.71740662,0.0582,0.27272727
5DUWF93gAZ7cJfS3jjg6d7,0.75,0.528,0.456,0.05135145,0.439,0.493,0.46330085,0.102,0.74933834,0.0371,0.18181818
5Dh1E4kXDwXwVfChsExG3G,0.977,0.594,0.24,0.03046913,0,0.755,0.30801168,0.503,0.75156213,0.0927,0
5DihlLenQJhJXGJhbtiTrM,0.986,0.208,0.234,0.03324168,0.656,0.209,0.35024866,0.234,0.69803461,0.0426,0.72727273
5Ds4ZzPLAPP5YbcnNrYZN8,0.993,0.519,0.308,0.03471654,0.000994,0.667,0.32235213,0.148,0.74719286,0.0804,0.54545455
5Emq6oTLQBqI8QErCNCNM8,0.863,0.503,0.282,0.02632409,0.000148,0.261,0.53890853,0.123,0.74850834,0.0608,0
5EwQxd2XGjp1BUZT2iHhEj,0.994,0.392,0.128,0.03005907,0.153,0.226,0.52042857,0.0983,0.70127633,0.0378,0.18181818
5GLDqWlZcVrem1MjyMesLr,0.0968,0.481,0.734,0.02208474,0,0.707,0.20017905,0.311,0.83559627,0.187,0.27272727
5Gwgo0I8mI4idVlMC2Lb8w,0.00115,0.662,0.936,0.07661842,0.857,0.144,0.52563171,0.0696,0.8200924,0.0715,0.36363636
5J0Hs1Oy4e9KARkVvz3dS6,0.00282,0.32,0.69,0.04975827,0.0021,0.199,0.55033736,0.132,0.81022629,0.0345,0.36363636
5JkAKZWkbWiVqIxe21xEXx,0.375,0.652,0.576,0.03362774,0.444,0.635,0.34479912,0.0659,0.80001566,0.0615,0
